Legend,Rank,Name,Home Runs,Batting Average,Height(cm),Weight(kg),Handedness,BMI
R,1,Gorman Thomas,268,0.225,210,74,R,16.78004535
R,2,Dave Kingman,442,0.236,210,78,R,17.68707483
R,3,Deron Johnson,245,0.244,200,74,R,18.5
L,4,Darrell Evans,414,0.248,200,74,L,18.5
L,5,Graig Nettles,390,0.248,180,72,L,22.22222222
R,6,Jimmy Wynn,291,0.25,160,70,R,27.34375
R,7,Tony Armas,251,0.252,182,71,R,21.43460935
L,8,John Mayberry,255,0.253,215,75,L,16.22498648
R,9,Andre Thornton,253,0.254,200,75,R,18.75
R,10,Sal Bando,242,0.254,195,72,R,18.93491124
L,11,Joe Pepitone,219,0.258,185,74,L,21.62162162
R,12,Doug DeCinces,237,0.259,190,74,R,20.49861496
R,13,Don Baylor,338,0.26,190,73,R,20.22160665
R,14,Ron Cey,316,0.261,185,70,R,20.45288532
R,15,Jeff Burroughs,240,0.261,200,73,R,18.25
L,16,Reggie Jackson,563,0.262,195,72,L,18.93491124
R,17,Larry Parrish,256,0.263,190,75,R,20.77562327
L,18,Rick Monday,241,0.264,193,75,L,20.13476872
L,19,Boog Powell,339,0.266,230,76,L,14.36672968
R,20,Bobby Grich,224,0.266,180,74,R,22.83950617
R,21,Mike Schmidt,548,0.267,195,74,R,19.460881
R,22,Johnny Bench,389,0.267,197,73,R,18.81006983
R,23,Lee May,354,0.267,195,75,R,19.72386588
R,24,Bobby Bonds,332,0.268,190,73,R,20.22160665
R,25,George Scott,271,0.268,200,74,R,18.5
L,26,Joe Morgan,268,0.271,160,67,L,26.171875
R,27,Willie Horton,325,0.273,209,71,R,16.25420663
L,28,Ben Oglivie,235,0.273,160,74,L,28.90625
R,29,George Foster,348,0.274,180,73,R,22.5308642
R,30,Greg Luzinski,307,0.276,220,73,R,15.08264463
R,31,Ron Santo,342,0.277,190,72,R,19.94459834
L,32,Bobby Murcer,252,0.277,160,71,L,27.734375
R,33,George Hendrick,267,0.278,195,75,R,19.72386588
R,34,Dusty Baker,242,0.278,183,74,R,22.09680791
R,35,Tony Perez,379,0.279,175,74,R,24.16326531
L,36,Rusty Staub,292,0.279,190,74,L,20.49861496
R,37,Gary Matthews,234,0.281,185,74,R,21.62162162
L,38,Willie Stargell,475,0.282,188,74,L,20.9370756
B,39,Ken Singleton,246,0.282,210,76,B,17.23356009
L,40,Fred Lynn,306,0.283,185,73,L,21.32943755
L,41,Carl Yastrzemski,452,0.285,175,71,L,23.18367347
B,42,Ted Simmons,248,0.285,193,71,B,19.06091439
B,43,Reggie Smith,314,0.287,180,72,B,22.22222222
R,44,Dick Allen,351,0.292,187,71,R,20.30369756
R,45,Steve Garvey,272,0.294,192,70,R,18.98871528
R,46,Joe Torre,252,0.297,212,74,R,16.46493414
R,47,Jim Rice,382,0.298,200,74,R,18.5
L,48,Cecil Cooper,241,0.298,165,74,L,27.18089991
L,49,Al Oliver,219,0.303,195,72,L,18.93491124
L,50,Tony Oliva,220,0.304,175,73,L,23.83673469
